iter	Passed	Remaining
0	2	210
1	4	198
2	5	191
3	7	183
4	9	180
5	11	183
6	13	180
7	15	179
8	17	175
9	19	172
10	21	171
11	24	176
12	27	180
13	29	179
14	30	175
15	32	170
16	33	165
17	35	163
18	37	159
19	38	155
20	40	153
21	42	151
22	44	149
23	46	146
24	48	144
25	49	141
26	51	138
27	52	135
28	54	132
29	55	128
30	57	127
31	58	124
32	60	121
33	61	119
34	63	117
35	64	114
36	65	112
37	67	110
38	68	107
39	70	105
40	72	103
41	73	101
42	74	98
43	76	96
44	77	94
45	78	92
46	80	90
47	81	87
48	82	85
49	83	83
50	84	81
51	85	79
52	87	77
53	88	75
54	90	73
55	91	72
56	93	70
57	94	68
58	95	66
59	97	64
60	99	63
61	100	61
62	102	60
63	103	58
64	105	56
65	106	54
66	108	53
67	109	51
68	110	49
69	112	48
70	113	46
71	114	44
72	116	43
73	117	41
74	119	39
75	120	37
76	121	36
77	123	34
78	124	33
79	125	31
80	127	29
81	128	28
82	129	26
83	131	25
84	133	23
85	134	21
86	135	20
87	137	18
88	138	17
89	139	15
90	141	14
91	143	12
92	144	10
93	145	9
94	147	7
95	148	6
96	149	4
97	151	3
98	152	1
99	153	0
