iter	Passed	Remaining
0	4	440
1	8	409
2	12	394
3	16	385
4	19	377
5	23	361
6	26	355
7	29	342
8	33	341
9	38	344
10	42	346
11	45	337
12	49	329
13	52	322
14	55	313
15	58	304
16	60	297
17	63	289
18	65	279
19	68	272
20	71	268
21	73	262
22	76	254
23	78	248
24	80	241
25	82	234
26	84	227
27	86	222
28	88	216
29	90	210
30	91	204
31	93	198
32	95	193
33	97	188
34	99	184
35	100	179
36	102	174
37	104	169
38	105	165
39	107	160
40	108	155
41	109	151
42	111	147
43	112	143
44	114	140
45	116	136
46	117	132
47	119	128
48	120	125
49	122	122
50	123	118
51	125	115
52	126	112
53	128	109
54	130	106
55	131	103
56	133	100
57	135	97
58	136	94
59	138	92
60	139	89
61	140	86
62	142	83
63	143	80
64	144	78
65	146	75
66	147	72
67	149	70
68	150	67
69	152	65
70	153	62
71	154	60
72	155	57
73	157	55
74	158	52
75	160	50
76	161	48
77	162	45
78	164	43
79	165	41
80	166	39
81	167	36
82	169	34
83	170	32
84	171	30
85	172	28
86	173	25
87	174	23
88	176	21
89	177	19
90	178	17
91	179	15
92	181	13
93	182	11
94	183	9
95	184	7
96	185	5
97	187	3
98	188	1
99	189	0
