iter	Passed	Remaining
0	1	186
1	3	166
2	4	154
3	6	144
4	7	150
5	9	146
6	10	146
7	12	145
8	14	145
9	16	149
10	18	147
11	20	147
12	21	144
13	23	142
14	24	138
15	26	137
16	27	135
17	29	133
18	31	134
19	33	133
20	35	134
21	37	132
22	39	130
23	40	128
24	42	126
25	43	123
26	45	122
27	46	120
28	48	118
29	50	116
30	51	114
31	53	113
32	54	111
33	56	109
34	58	108
35	59	106
36	61	105
37	63	103
38	64	101
39	66	99
40	67	97
41	69	95
42	71	94
43	72	92
44	74	90
45	75	88
46	77	87
47	79	85
48	81	84
49	83	83
50	84	81
51	86	79
52	88	78
53	90	77
54	92	75
55	93	73
56	95	72
57	97	70
58	99	68
59	100	66
60	101	65
61	103	63
62	105	61
63	107	60
64	109	58
65	111	57
66	112	55
67	114	53
68	115	52
69	117	50
70	120	49
71	121	47
72	123	45
73	124	43
74	126	42
75	127	40
76	129	38
77	130	36
78	132	35
79	134	33
80	135	31
81	137	30
82	138	28
83	140	26
84	141	25
85	143	23
86	145	21
87	146	20
88	148	18
89	150	16
90	151	14
91	153	13
92	154	11
93	156	9
94	158	8
95	159	6
96	161	4
97	162	3
98	164	1
99	166	0
